Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,EU-C3DataTransfer-Out-Bytes,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,104291875
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-public-alb-logs,07/01/20 00:00:00,07/02/20 00:00:00,210863297232
AmazonS3,ReadACL,EU-EUC1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,testing-cloudwatch-logs,07/01/20 00:00:00,07/02/20 00:00:00,1334051232
AmazonS3,PutObject,EU-APS2-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,56802
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-artifacts,07/01/20 00:00:00,07/02/20 00:00:00,51762189504
AmazonS3,PutObject,EU-APN1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,56123
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-hdp-mysql-dump,07/01/20 00:00:00,07/02/20 00:00:00,2076201959520
AmazonS3,ListBucket,EU-Requests-Tier1,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,266610
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,110388959592
AmazonS3,ListBucket,EU-Requests-Tier1,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,12097
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-nifi,07/01/20 00:00:00,07/02/20 00:00:00,4861920384
AmazonS3,ListBucket,EU-C3DataTransfer-Out-Bytes,lump-data,07/01/20 00:00:00,07/02/20 00:00:00,53444932
AmazonS3,ListBucket,EU-C3DataTransfer-Out-Bytes,dmap-data-bucket,07/01/20 00:00:00,07/02/20 00:00:00,7023743181
AmazonS3,PutObject,EU-USW1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,53781
AmazonS3,PutObject,EU-EUN1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,55072
AmazonS3,PutObject,EU-Requests-Tier1,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,48
AmazonS3,PutObject,EU-Requests-Tier1,dmap-public-alb-logs,07/01/20 00:00:00,07/02/20 00:00:00,581
AmazonS3,OneZoneIAStorage,EU-TimedStorage-ZIA-ByteHrs,dmap-prod-qliksense-backup,07/01/20 00:00:00,07/02/20 00:00:00,78675689832
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod,07/01/20 00:00:00,07/02/20 00:00:00,34
AmazonS3,StandardStorage,StorageObjectCount,prod-seo-auto-reports,07/01/20 00:00:00,07/02/20 00:00:00,14
AmazonS3,StandardStorage,StorageObjectCount,edl-online-backup,07/01/20 00:00:00,07/02/20 00:00:00,262051
AmazonS3,StandardStorage,StorageObjectCount,edl-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,dmap-public-tableau-nlb-logs,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,prod-comp-price,07/01/20 00:00:00,07/02/20 00:00:00,488
